Team,Elo,From,To
Mexico,1783,2026-01-01,2026-12-31
South Africa,1685,2026-01-01,2026-12-31
South Korea,1798,2026-01-01,2026-12-31
Czech Republic,1755,2026-01-01,2026-12-31
Canada,1768,2026-01-01,2026-12-31
Bosnia and Herzegovina,1720,2026-01-01,2026-12-31
Qatar,1688,2026-01-01,2026-12-31
Switzerland,1825,2026-01-01,2026-12-31
Brazil,2012,2026-01-01,2026-12-31
Morocco,1853,2026-01-01,2026-12-31
Haiti,1580,2026-01-01,2026-12-31
Scotland,1762,2026-01-01,2026-12-31
USA,1805,2026-01-01,2026-12-31
Paraguay,1745,2026-01-01,2026-12-31
Australia,1743,2026-01-01,2026-12-31
Turkey,1788,2026-01-01,2026-12-31
Germany,1952,2026-01-01,2026-12-31
Curaçao,1520,2026-01-01,2026-12-31
Ivory Coast,1810,2026-01-01,2026-12-31
Ecuador,1835,2026-01-01,2026-12-31
Netherlands,1975,2026-01-01,2026-12-31
Japan,1887,2026-01-01,2026-12-31
Sweden,1778,2026-01-01,2026-12-31
Tunisia,1725,2026-01-01,2026-12-31
Belgium,1912,2026-01-01,2026-12-31
Egypt,1740,2026-01-01,2026-12-31
Iran,1770,2026-01-01,2026-12-31
New Zealand,1625,2026-01-01,2026-12-31
Spain,2127,2026-01-01,2026-12-31
Cape Verde,1655,2026-01-01,2026-12-31
Saudi Arabia,1683,2026-01-01,2026-12-31
Uruguay,1963,2026-01-01,2026-12-31
France,2098,2026-01-01,2026-12-31
Senegal,1820,2026-01-01,2026-12-31
Iraq,1715,2026-01-01,2026-12-31
Norway,1790,2026-01-01,2026-12-31
Argentina,2141,2026-01-01,2026-12-31
Algeria,1738,2026-01-01,2026-12-31
Austria,1802,2026-01-01,2026-12-31
Jordan,1660,2026-01-01,2026-12-31
Portugal,1986,2026-01-01,2026-12-31
DR Congo,1705,2026-01-01,2026-12-31
Uzbekistan,1695,2026-01-01,2026-12-31
Colombia,1988,2026-01-01,2026-12-31
England,2038,2026-01-01,2026-12-31
Croatia,1892,2026-01-01,2026-12-31
Ghana,1750,2026-01-01,2026-12-31
Panama,1680,2026-01-01,2026-12-31
